pmid	title	year	journal	publication_type	authors	doi	pmcid	url	abstract	fetched_at
34354211	Early transcriptional responses in Solanum peruvianum and Solanum lycopersicum account for different acclimation processes during water scarcity events.	2021	Scientific reports	Journal Article; Research Support, Non-U.S. Gov't	Tapia G; González M; Burgos J	10.1038/s41598-021-95622-2	PMC8342453	https://www.ncbi.nlm.nih.gov/pubmed/34354211	"Cultivated tomato Solanum lycopersicum (Slyc) is sensitive to water shortages, while its wild relative Solanum peruvianum L. (Sper), an herbaceous perennial small shrub, can grow under water scarcity and soil salinity environments. Plastic Sper modifies the plant architecture when suffering from drought, which is mediated by the replacement of leaf organs, among other changes. The early events that trigger acclimation and improve these morphological traits are unknown. In this study, a physiological and transcriptomic approach was used to understand the processes that differentiate the response in Slyc and Sper in the context of acclimation to stress and future consequences for plant architecture. In this regard, moderate (MD) and severe drought (SD) were imposed, mediating PEG treatments. The results showed a reduction in water and osmotic potential during stress, which correlated with the upregulation of sugar and proline metabolism-related genes. Additionally, the senescence-related genes FTSH6 protease and asparagine synthase were highly induced in both species. However, GO categories such as ""protein ubiquitination"" or ""endopeptidase inhibitor activity"" were differentially enriched in Sper and Slyc, respectively. Genes related to polyamine biosynthesis were induced, while several cyclins and kinetin were downregulated in Sper under drought treatments. Repression of photosynthesis-related genes was correlated with a higher reduction in the electron transport rate in Slyc than in Sper. Additionally, transcription factors from the ERF, WRKY and NAC families were commonly induced in Sper. Although some similar responses were induced in both species under drought stress, many important changes were detected to be differentially induced. This suggests that different pathways dictate the strategies to address the early response to drought and the consequent episodes in the acclimation process in both tomato species."	2026-03-04T12:50:52.279706
40883303	Drought recovery in plants triggers a cell-state-specific immune activation.	2025	Nature communications	Journal Article	Illouz-Eliaz N; Yu J; Swift J	10.1038/s41467-025-63467-2	PMC12397292	https://www.ncbi.nlm.nih.gov/pubmed/40883303	All organisms experience stress as an inevitable part of life, from single-celled microorganisms to complex multicellular beings. The ability to recover from stress is a fundamental trait that determines the overall resilience of an organism, yet stress recovery is understudied. To investigate how plants recover from drought, we examine a fine-scale time series of RNA sequencing starting 15 min after rehydration following moderate drought. We reveal that drought recovery is a rapid process involving the activation of thousands of recovery-specific genes. To capture these rapid recovery responses in different Arabidopsis thaliana (A. thaliana) leaf cell types, we perform a single-nucleus transcriptome analysis at the onset of drought recovery, identifying a cell type-specific transcriptional state developing independently across cell types. To further validate the cell-type specific transcriptional changes observed during drought recovery, we employ spatial transcriptomics using multiplexed error-robust fluorescence in situ hybridization (MERFISH), revealing anatomical localization of recovery-induced gene expression programs across Arabidopsis leaf tissues. Furthermore, we reveal a recovery-induced activation of the immune system that occurs autonomously, and which enhances pathogen resistance in vivo in A. thaliana, wild tomato (Solanum pennellii) and domesticated tomato (Solanum lycopersicum cv. M82). Since rehydration promotes microbial proliferation and thereby increases the risk of infection, the activation of drought recovery-induced immunity may be crucial for plant survival in natural environments. These findings indicate that drought recovery coincides with a preventive defense response, unraveling the complex regulatory mechanisms that facilitate stress recovery in different plant cell types.	2026-03-04T12:50:53.001355
35406848	Expression Profile of Sorghum Genes and Cis-Regulatory Elements under Salt-Stress Conditions.	2022	Plants (Basel, Switzerland)	Journal Article	Lee S; Jeon D; Choi S	10.3390/plants11070869	PMC9003456	https://www.ncbi.nlm.nih.gov/pubmed/35406848	Salinity stress is one of the most important abiotic stresses that causes great losses in crop production worldwide. Identifying the molecular mechanisms of salt resistance in sorghum will help develop salt-tolerant crops with high yields. Sorghum (Sorghum bicolor (L.) Moench) is one of the world's four major grains and is known as a plant with excellent adaptability to salt stress. Among the various genotypes of sorghum, a Korean cultivar Nampungchal is also highly tolerant to salt. However, little is known about how Nampungchal responds to salt stress. In this study, we measured various physiological parameters, including Na+ and K+ contents, in leaves grown under saline conditions and investigated the expression patterns of differentially expressed genes (DEGs) using QuantSeq analysis. These DEG analyses revealed that genes up-regulated in a 150 mM NaCl treatment have various functions related to abiotic stresses, such as ERF and DREB. In addition, transcription factors such as ABA, WRKY, MYB, and bZip bind to the CREs region of sorghum and are involved in the regulation of various abiotic stress-responsive transcriptions, including salt stress. These findings may deepen our understanding of the mechanisms of salt tolerance in sorghum and other crops.	2026-03-04T12:50:53.726378
41220776	Deciphering drought-response in wheat (Triticum aestivum): physiological, biochemical, and transcriptomic insights into tolerant and sensitive cultivars under dehydration shock.	2025	Frontiers in plant science	Journal Article	Cevher-Keskin B; Yıldızhan Y; Sekmen AH	10.3389/fpls.2025.1649378	PMC12598786	https://www.ncbi.nlm.nih.gov/pubmed/41220776	Wheat (Triticum aestivum L.) is a major staple crop, but its productivity is severely threatened by drought, especially during reproductive stages when yield and quality are most vulnerable. Climate change and water overexploitation intensify this challenge, with yield losses of up to 80% in arid regions and projected global production declines of ~29%. Drought tolerance is a complex trait involving physiological, biochemical, and molecular mechanisms, including stomatal regulation, osmolyte accumulation, and activation of stress-responsive genes. Advances in transcriptomics, functional genomics, and genome editing have identified key regulators (DREB, ERF, SnRK2), antioxidant enzymes, and ABA signalling components as targets for improving drought resilience. Developing drought-tolerant wheat varieties is therefore a priority for food security.	2026-03-04T12:50:54.532531
41414049	Mediterranean Tomato Landraces Exhibit Genotype-Specific Transcriptomic Responses to Water Stress.	2025	Physiologia plantarum	Journal Article	Juan-Cabot A; Carrillo L; Fullana-Pericàs M	10.1111/ppl.70696	PMC12715300	https://www.ncbi.nlm.nih.gov/pubmed/41414049	Drought stress is a critical limitation to crop production, particularly in Mediterranean climates. The molecular response of drought adaptation in crops is variable and coordinated in leaves and roots. To understand the molecular basis of drought tolerance in tomato, the transcriptomic responses of two drought-tolerant Mediterranean landraces ('de Ramellet' from Spain and 'Lucariello' from Italy) were compared with two commercial varieties ('Moneymaker' and 'Ailsa Craig'). Plants were grown under well-watered and water stress conditions, performing RNA sequencing in leaf and root tissues. Differential expression analysis denoted that the transcriptomic response to water stress was mostly genotype-dependent and tissue-dependent. Only 0.9% of leaf DEGs and 5.1% of root DEGs were shared across all genotypes, including pathways like response to salt, response to heat, and photosynthesis. Commercial genotypes regulated a wide array of metabolic pathways, including plant-defense, indicative of a response to a general metabolic impairment. In contrast, landraces exhibited a more targeted transcriptional response, specifically triggering drought- and stress-related pathways. The 'de Ramellet' landrace exhibited a highly divergent leaf response, characterized by increased expression of osmotic stress-related genes and heat stress pathways, while 'Lucariello' regulated salt transmembrane transporters and antioxidant defenses, particularly in roots. These findings highlight the distinct molecular strategies employed by landraces and commercial cultivars under water stress, emphasizing the potential of Mediterranean landraces as genetic resources for improving drought resilience in tomato breeding programs.	2026-03-04T12:50:55.327392
30308016	Identification of water use efficiency related genes in 'Garnem' almond-peach rootstock using time-course transcriptome analysis.	2018	PloS one	Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't	Bielsa B; Hewitt S; Reyes-Chin-Wo S	10.1371/journal.pone.0205493	PMC6181374	https://www.ncbi.nlm.nih.gov/pubmed/30308016	Drought is one of the main abiotic stresses with far-reaching ecological and socioeconomic impacts, especially in perennial food crops such as Prunus. There is an urgent need to identify drought resilient rootstocks that can adapt to changes in water availability. In this study, we tested the hypothesis that PEG-induced water limitation stress will simulate drought conditions and drought-related genes, including transcription factors (TFs), will be differentially expressed in response to this stress. 'Garnem' genotype, an almond × peach hybrid [P. amygdalus Batsch, syn P. dulcis (Mill.) x P. persica (L.) Batsch] was exposed to PEG-6000 solution, and a time-course transcriptome analysis of drought-stressed roots was performed at 0, 2 and 24 h time points post-stress. Transcriptome analysis resulted in the identification of 12,693 unique differentially expressed contigs (DECs) at the 2 h time point, and 7,705 unique DECs at the 24 h time point after initiation of the drought treatment. Interestingly, three drought-induced genes, directly related to water use efficiency (WUE) namely, ERF023 TF; LRR receptor-like serine/threonine-kinase ERECTA; and NF-YB3 TF, were found induced under stress. The RNAseq results were validated with quantitative RT-PCR analysis of eighteen randomly selected differentially expressed contigs (DECs). Pathway analysis in the present study provides valuable information regarding metabolic events that occur during stress-induced signalling in 'Garnem' roots. This information is expected to be useful in understanding the potential mechanisms underlying drought stress responses and drought adaptation strategies in Prunus species.	2026-03-04T12:50:56.127149
25923822	Transcriptomic Analysis of Drought Stress Responses in Ammopiptanthus mongolicus Leaves Using the RNA-Seq Technique.	2015	PloS one	Journal Article; Research Support, Non-U.S. Gov't	Gao F; Wang J; Wei S	10.1371/journal.pone.0124382	PMC4414462	https://www.ncbi.nlm.nih.gov/pubmed/25923822	Ammopiptanthus mongolicus (Maxim. Ex Kom.) Cheng f., a relic tree of the Tertiary period, plays a critical role in maintaining desert ecosystems in the Mid-Asia region. Genome-scale gene expression profiling studies will provide deep insight into the molecular mechanism underlying the drought tolerance of A. mongolicus. In the present study, we investigated the transcriptional changes induced by drought treatment in A. mongolicus leaves by establishing a comprehensive transcriptome database and then performing a Digital Gene Expression (DGE) analysis using Solexa sequencing technology. A comprehensive transcriptome database was obtained by assembling the Illumina unigenes with expressed sequence tags (EST) available publicly, and other high throughput sequencing data. To analyze the dynamic and complicated gene regulation network during PEG6000-induced drought treatment in leaves of A. mongolicus, a time-course gene expression analysis was performed using tag-based DGE technology, which identified 437, 1,247 and 802 differentially expressed transcripts in 1, 24 and 72 h drought stress libraries, respectively. GO and KEGG analyses revealed hormone signal transduction and phenylpropanoid biosynthesis were enriched during drought treatment. A batch of drought-regulated transcription factor transcripts were identified, including the subsets of HD-ZIP, bZIP, WRKY, AP2/ERF and bHLH family members, which may play roles in drought response in A. mongolicus. The sequence collection assembled in the present study represents one of the most comprehensive transcriptome databases for A. mongolicus currently. The differentially expressed transcripts identified in our study provide a good start for identifying the key genes in stress response and performing functional analysis to reveal their roles in stress adaptation in planta.	2026-03-04T12:50:56.851865
32054920	Grafting alters tomato transcriptome and enhances tolerance to an airborne virus infection.	2020	Scientific reports	Journal Article; Research Support, Non-U.S. Gov't	Spanò R; Ferrara M; Montemurro C	10.1038/s41598-020-59421-5	PMC7018947	https://www.ncbi.nlm.nih.gov/pubmed/32054920	Grafting of commercial tomato varieties and hybrids on the tomato ecotype Manduria resulted in high levels of tolerance to the infection of Sw5 resistance-breaking strains of tomato spotted wilt virus and of severe cucumber mosaic virus strains supporting hypervirulent satellite RNAs that co-determine stunting and necrotic phenotypes in tomato. To decipher the basis of such tolerance, here we used a RNAseq analysis to study the transcriptome profiles of the Manduria ecotype and of the susceptible variety UC82, and of their graft combinations, exposed or not to infection of the potato virus Y recombinant strain PVYC-to. The analysis identified graft- and virus-responsive mRNAs differentially expressed in UC82 and Manduria, which led to an overall suitable level of tolerance to viral infection confirmed by the appearance of a recovery phenotype in Manduria and in all graft combinations. The transcriptome analysis suggested that graft wounding and viral infection had diverging effects on tomato transcriptome and that the Manduria ecotype was less responsive than the UC82 to both graft wounding and potyviral infection. We propose that the differential response to the two types of stress could account for the tolerance to viral infection observed in the Manduria ecotype as well as in the susceptible tomato variety UC82 self-grafted or grafted on the Manduria ecotype.	2026-03-04T12:50:57.534455
35087552	Transcriptional and Physiological Analyses to Assess the Effects of a Novel Biostimulant in Tomato.	2021	Frontiers in plant science	Journal Article	Della Lucia MC; Baghdadi A; Mangione F	10.3389/fpls.2021.781993	PMC8787302	https://www.ncbi.nlm.nih.gov/pubmed/35087552	This work aimed to study the effects in tomato (Solanum lycopersicum L.) of foliar applications of a novel calcium-based biostimulant (SOB01) using an omics approach involving transcriptomics and physiological profiling. A calcium-chloride fertilizer (SOB02) was used as a product reference standard. Plants were grown under well-watered (WW) and water stress (WS) conditions in a growth chamber. We firstly compared the transcriptome profile of treated and untreated tomato plants using the software RStudio. Totally, 968 and 1,657 differentially expressed genes (DEGs) (adj-p-value < 0.1 and |log2(fold change)| ≥ 1) were identified after SOB01 and SOB02 leaf treatments, respectively. Expression patterns of 9 DEGs involved in nutrient metabolism and osmotic stress tolerance were validated by real-time quantitative reverse transcription PCR (RT-qPCR) analysis. Principal component analysis (PCA) on RT-qPCR results highlighted that the gene expression profiles after SOB01 treatment in different water regimes were clustering together, suggesting that the expression pattern of the analyzed genes in well water and water stress plants was similar in the presence of SOB01 treatment. Physiological analyses demonstrated that the biostimulant application increased the photosynthetic rate and the chlorophyll content under water deficiency compared to the standard fertilizer and led to a higher yield in terms of fruit dry matter and a reduction in the number of cracked fruits. In conclusion, transcriptome and physiological profiling provided comprehensive information on the biostimulant effects highlighting that SOB01 applications improved the ability of the tomato plants to mitigate the negative effects of water stress.	2026-03-04T12:50:58.256621
39202338	Homoeologs in Allopolyploids: Navigating Redundancy as Both an Evolutionary Opportunity and a Technical Challenge-A Transcriptomics Perspective.	2024	Genes	Journal Article; Review	Aufiero G; Fruggiero C; D'Angelo D	10.3390/genes15080977	PMC11353593	https://www.ncbi.nlm.nih.gov/pubmed/39202338	Allopolyploidy in plants involves the merging of two or more distinct parental genomes into a single nucleus, a significant evolutionary process in the plant kingdom. Transcriptomic analysis provides invaluable insights into allopolyploid plants by elucidating the fate of duplicated genes, revealing evolutionary novelties and uncovering their environmental adaptations. By examining gene expression profiles, scientists can discern how duplicated genes have evolved to acquire new functions or regulatory roles. This process often leads to the development of novel traits and adaptive strategies that allopolyploid plants leverage to thrive in diverse ecological niches. Understanding these molecular mechanisms not only enhances our appreciation of the genetic complexity underlying allopolyploidy but also underscores their importance in agriculture and ecosystem resilience. However, transcriptome profiling is challenging due to genomic redundancy, which is further complicated by the presence of multiple chromosomes sets and the variations among homoeologs and allelic genes. Prior to transcriptome analysis, sub-genome phasing and homoeology inference are essential for obtaining a comprehensive view of gene expression. This review aims to clarify the terminology in this field, identify the most challenging aspects of transcriptome analysis, explain their inherent difficulties, and suggest reliable analytic strategies. Furthermore, bulk RNA-seq is highlighted as a primary method for studying allopolyploid gene expression, focusing on critical steps like read mapping and normalization in differential gene expression analysis. This approach effectively captures gene expression from both parental genomes, facilitating a comprehensive analysis of their combined profiles. Its sensitivity in detecting low-abundance transcripts allows for subtle differences between parental genomes to be identified, crucial for understanding regulatory dynamics and gene expression balance in allopolyploids.	2026-03-04T12:50:59.076182
